trialnum	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	offset	whichIsTargetEachRing0	ringToQuery	direction0	respAdj0	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	IDnum	sessionNum	comment	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	EDFmatchExists
78	1	ellipse	4	0.9111111111111114	-1	81	3	5.016992518109558	1	[-10,	0]	2	0	-1	-0	1.9517	3.8588	5.6767	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
79	1	ellipse	6	0.5611111111111313	-1	107	3	4.848694002119656	1	[-10,	0]	1	0	-1	0	1.7072	2.6447	3.789	5.0003	6.2643	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
80	1	ellipse	4	0.02	1	105	3	5.6536796893663155	1	[-10,	0]	1	0	1	0	2.2947	3.2371	4.5376	5.2935	7.1355	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
81	1	ellipse	4	0.9111111111111114	1	90	3	5.180951468241045	1	[10,	0]	0	0	1	-0	2.1078	3.0381	3.7435	5.5091	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
82	1	ellipse	6	0.5611111111111313	-1	85	3	3.5730247514914724	1	[10,	0]	4	0	-1	-0	2.193	3.5814	4.3998	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
83	1	ellipse	6	0.6111111111111285	-1	105	3	3.706168477251528	1	[-10,	0]	0	0	-1	0	2.7418	4.2292	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
84	1	ellipse	4	0.9111111111111114	1	72	3	5.325757129057055	1	[10,	0]	3	0	1	0	3.0105	4.3484	5.7647	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
85	1	ellipse	4	0.9611111111111086	1	76	3	4.433146854175877	1	[10,	0]	1	0	1	0	1.8783	3.8007	4.6997	5.6307	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
86	1	ellipse	6	0.6111111111111285	1	71	3	5.3509173272195625	1	[-10,	0]	2	0	1	0	2.5492	4.4495	6.0161	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
87	1	ellipse	4	0.9611111111111086	-1	80	3	5.43274411813108	1	[10,	0]	3	0	-1	-0	2.599	4.3409	6.3027	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
