TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
257	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	256.0	0.02	3.0	1.0
258	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	257.0	0.4457031250000085	0.0	0.0
259	circle	4	staircase	1	2	[2. 0. 1.]	2	1.0	258.0	0.950000000000017	3.0	1.0
260	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	259.0	0.39570312500001137	3.0	1.0
261	circle	8	[0.02, 0.1]	-1	3	[1. 6. 1.]	1	1.0	260.0	0.1	3.0	1.0
262	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	261.0	0.1	3.0	1.0
263	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	262.0	0.39570312500001137	0.0	0.0
264	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	263.0	0.2457031250000199	3.0	1.0
265	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	264.0	0.29570312500001705	3.0	1.0
266	circle	4	staircase	-1	3	[2. 0. 3.]	2	1.0	265.0	0.545703125000017	3.0	1.0
267	circle	4	staircase	-1	2	[2. 0. 1.]	2	1.0	266.0	0.950000000000017	3.0	1.0
268	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	267.0	0.02	3.0	1.0
269	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	268.0	0.3457031250000142	3.0	1.0
270	circle	4	[0.02, 0.1]	1	3	[0. 2. 3.]	1	1.0	269.0	0.02	3.0	1.0
271	circle	8	[0.02, 0.1]	1	2	[5. 7. 6.]	2	1.0	270.0	0.1	3.0	1.0
272	circle	8	[0.02, 0.1]	-1	2	[5. 7. 6.]	2	1.0	271.0	0.02	3.0	1.0
273	circle	8	staircase	-1	3	[7. 2. 0.]	1	1.0	272.0	0.29570312500001705	3.0	1.0
274	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	273.0	0.545703125000017	0.0	0.0
275	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	274.0	0.29570312500001705	3.0	1.0
276	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	275.0	0.3457031250000142	3.0	1.0
277	circle	8	staircase	1	2	[3. 4. 7.]	1	1.0	276.0	0.3457031250000142	3.0	1.0
278	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	277.0	1.0000000000000142	3.0	1.0
279	circle	4	staircase	1	2	[3. 2. 2.]	2	1.0	278.0	1.0000000000000142	3.0	1.0
280	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	279.0	0.3457031250000142	3.0	1.0
281	circle	4	staircase	-1	3	[3. 0. 1.]	0	1.0	280.0	0.4957031250000199	3.0	1.0
282	circle	4	staircase	-1	3	[3. 1. 3.]	2	1.0	281.0	0.4957031250000199	3.0	1.0
283	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	282.0	0.4957031250000199	0.0	0.0
284	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	283.0	1.0000000000000142	3.0	1.0
285	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	284.0	1.0500000000000114	3.0	1.0
286	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	2	1.0	285.0	0.1	3.0	1.0
287	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	286.0	0.3457031250000142	3.0	1.0
288	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	287.0	0.44570312500002274	3.0	1.0
289	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	288.0	0.39570312500001137	3.0	1.0
290	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	289.0	0.3457031250000142	3.0	1.0
291	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	290.0	1.0500000000000114	0.0	0.0
292	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	291.0	0.1	3.0	1.0
293	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	2	1.0	292.0	0.1	3.0	1.0
294	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	293.0	0.39570312500001137	3.0	1.0
