comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsBlipsAfterCue	pTrialsLotsAfterCue	ID.x	IDnum	session	IDvalid	firstLetter	EDFmatchExists	EDF_name	EDF_suffix	file_size	ID.y	noSessionID	sessionNum	EDFreadError
None	120	0.16666666666666666	NA	NA	NA	M47	47	2	TRUE	M	TRUE	M472	EDF	11052142	47	FALSE	2	FALSE
None	120	0.18333333333333332	NA	NA	NA	M47	47	3	TRUE	M	TRUE	M473	EDF	11251060	47	FALSE	3	FALSE
None	120	0.016666666666666666	0.008333333333333333	0	0	M60	60	a	TRUE	M	TRUE	M60a	EDF	11197985	60	FALSE	1	FALSE
None	120	0.008333333333333333	0	0	0	M60	60	b	TRUE	M	TRUE	M60b	EDF	11276078	60	FALSE	2	FALSE
None	120	0	0	0	0	M60	60	c	TRUE	M	TRUE	M60c	EDF	11201767	60	FALSE	3	FALSE
None	120	0.05	0	0	0	M74	74	a	TRUE	M	TRUE	M74a	EDF	11319891	74	FALSE	1	FALSE
None	120	0.016666666666666666	0	0	0	M74	74	b	TRUE	M	TRUE	M74b	EDF	11142336	74	FALSE	2	FALSE
None	120	0.025	0.008333333333333333	0	0	M74	74	c	TRUE	M	TRUE	M74c	EDF	20291577	74	FALSE	3	TRUE
None	120	0.13333333333333333	0	0	0	N79	79	a	TRUE	N	TRUE	N79a	EDF	3063235	79	FALSE	1	FALSE
None	120	0.058333333333333334	0	0	0	N79	79	b	TRUE	N	TRUE	N79b	EDF	3053079	79	FALSE	2	FALSE
None	120	0.025	0.008333333333333333	0.008333333333333333	0	N79	79	c	TRUE	N	TRUE	N79c	EDF	4917018	79	FALSE	3	FALSE
None	120	0.08333333333333333	0.016666666666666666	0	0	O93	93	a	TRUE	O	TRUE	O93a	EDF	2825135	93	FALSE	1	FALSE
None	120	0.03333333333333333	0	0	0	O93	93	b	TRUE	O	TRUE	O93b	EDF	2912940	93	FALSE	2	FALSE
None	120	0.008333333333333333	0	0	0	O93	93	c	TRUE	O	TRUE	O93c	EDF	2938988	93	FALSE	3	FALSE
None	120	0.23333333333333334	0	0	0	P54	54	a	TRUE	P	TRUE	P54a	EDF	11530542	54	FALSE	1	FALSE
None	120	0.125	0	0	0	P54	54	b	TRUE	P	TRUE	P54b	EDF	11603951	54	FALSE	2	FALSE
None	120	0.08333333333333333	0.016666666666666666	0.016666666666666666	0	P54	54	c	TRUE	P	TRUE	P54c	EDF	12044022	54	FALSE	3	FALSE
None	120	0.1	0.008333333333333333	0.008333333333333333	0	P67	67	a	TRUE	P	TRUE	P67a	EDF	11075854	67	FALSE	1	FALSE
None	120	0.03333333333333333	0	0	0	P67	67	b	TRUE	P	TRUE	P67b	EDF	11323521	67	FALSE	2	FALSE
None	120	0.008333333333333333	0	0	0	P67	67	c	TRUE	P	TRUE	P67c	EDF	27223098	67	FALSE	3	FALSE
None	120	0.03333333333333333	0	0	0	R59	59	a	TRUE	R	TRUE	R59a	EDF	11455862	59	FALSE	1	FALSE
None	120	0.025	0	0	0	R59	59	b	TRUE	R	TRUE	R59b	EDF	11224431	59	FALSE	2	FALSE
None	90	0.022222222222222223	0	0	0	R59	59	c	TRUE	R	TRUE	R59c	EDF	19747564	59	FALSE	3	FALSE
None	120	0.06666666666666667	0	0	0	R62	62	a	TRUE	R	TRUE	R62a	EDF	11202640	62	FALSE	1	FALSE
None	120	0.15833333333333333	0	0	0	R62	62	b	TRUE	R	TRUE	R62b	EDF	11349586	62	FALSE	2	FALSE
None	120	0.13333333333333333	0	0	0	R62	62	c	TRUE	R	TRUE	R62c	EDF	18867267	62	FALSE	3	FALSE
None	120	0.008333333333333333	0.008333333333333333	0	0	R66	66	a	TRUE	R	TRUE	R66a	EDF	11156533	66	FALSE	1	FALSE
None	120	0.016666666666666666	0	0	0	R66	66	b	TRUE	R	TRUE	R66b	EDF	11248494	66	FALSE	2	FALSE
None	120	0	0	0	0	R66	66	c	TRUE	R	TRUE	R66c	EDF	11294689	66	FALSE	3	FALSE
None	120	0.03333333333333333	0	0	0	R76	76	a	TRUE	R	TRUE	R76a	EDF	3112910	76	FALSE	1	FALSE
None	120	0.008333333333333333	0	0	0	R76	76	b	TRUE	R	TRUE	R76b	EDF	3196208	76	FALSE	2	FALSE
None	120	0	0	0	0	R76	76	c	TRUE	R	TRUE	R76c	EDF	3178889	76	FALSE	3	FALSE
None	120	0.06666666666666667	0	0	0	R91	91	a	TRUE	R	TRUE	R91a	EDF	2928062	91	FALSE	1	FALSE
None	120	0.041666666666666664	0	0	0	R91	91	b	TRUE	R	TRUE	R91b	EDF	2956639	91	FALSE	2	FALSE
None	120	0.025	0	0	0	R91	91	c	TRUE	R	TRUE	R91c	EDF	4031917	91	FALSE	3	TRUE
None	120	0.05	NA	NA	NA	S38	38	1	TRUE	S	TRUE	S381	EDF	11023080	38	FALSE	1	FALSE
None	120	0.025	NA	NA	NA	S38	38	2	TRUE	S	TRUE	S382	EDF	11081097	38	FALSE	2	FALSE
None	120	0.016666666666666666	NA	NA	NA	S38	38	3	TRUE	S	TRUE	S383	EDF	11265350	38	FALSE	3	FALSE
None	120	0.1	NA	NA	NA	S39	39	1	TRUE	S	TRUE	S391	EDF	11315981	39	FALSE	1	FALSE
None	120	0	NA	NA	NA	S39	39	2	TRUE	S	TRUE	S392	EDF	11293319	39	FALSE	2	FALSE
